,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast
2773,Moses Coulee Preserve,CENTRAL WASHINGTON -- GRAND COULEE,4.0,0.0,1750.0,3.75,4,"Moses Coulee is a lesser-known but splendid coulee near Grand Coulee. Huge towering walls of basalt cliffs line both sides of the coulee and sagebrush as well as a lone cactus carpet the floor. This area offers miles upon miles of sights, sounds and smells. One can wander aimlessly, looking at rock formations and losing track of time and space, or utilize one of the faint hiker trails for a more structured visit.","['Wildflowers/Meadows', 'Wildlife', 'Rivers', 'Dogs not allowed', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2774,Mount Adams Highline,SOUTH CASCADES -- MOUNT ADAMS AREA,22.2,1550.0,7750.0,3.71,7,"Climb the north side of the mountain to spectacular alpine tundra and panoramic views on Devil's Garden, situated on a high plateau below the heavily-crevassed Lava and Lyman Glaciers, then head down to Avalanche Valley below the rugged and remote northeast side of the mountain. You'll make two challenging stream crossings before reaching Devil's Garden.","['Wildflowers/Meadows', 'Mountain views', 'Lakes']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2775,Clara and Marion Lakes,CENTRAL WASHINGTON -- WENATCHEE,3.2,900.0,5475.0,3.88,16,"Some days are perfect for quiet contemplation, and an easygoing trail. Chirping birds, fragrant Ponderosa pines, and soft duff underfoot make this a perfect short, casual hike. In snow, it's steady climb will make it a moderate challenge in winter when showshoeing is in season.","['Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2776,Meadow Mountain,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,35.0,3850.0,5850.0,2.0,4,"Take three or four days to explore this rugged trail near Glacier Peak. If you're feeling ambitious, make it a traverse either to or from White Chuck Bench.","['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Established campsites', 'Mountain views', 'Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2777,Marten Creek,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,6.6,1400.0,2800.0,3.0,13,"Follow an old mining route through quiet forest near Darrington. This trail hasn't seen much maintenance in recent years, so it may require some route-finding experience to visit.",['Old growth'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2778,McGee Ranch,CENTRAL WASHINGTON -- TRI-CITIES,,,,3.33,3,"Per staff at Hanford Reach, this hike is now on private property and inaccessible to the public.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2779,McNary National Wildlife Refuge,CENTRAL WASHINGTON -- TRI-CITIES,2.0,0.0,350.0,2.0,4,This National Wildlife Refuge consists of a chain of wetland marshes adjacent to the confluence of the Snake and Columbia Rivers.,"['Wildlife', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2780,Meeks Table,CENTRAL WASHINGTON -- YAKIMA,3.4,,,3.0,1,"The short route to Meeks Table goes through some forest then begins a moderately steep and short climb to a ridgeline, eventually continuing along the ridge, where you will walk through a myriad of wildflowers.","['Wildflowers/Meadows', 'Mountain views', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2781,Milk Creek,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,6.0,2100.0,3900.0,3.5,4,"This hike requires a potentially dangerous ford of the Suiattle River due to a missing bridge. Because of its inaccessibility and a lack of maintenance, expect a brushy trail with blowdowns beyond this point.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Old growth', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2782,Lyons Ferry State Park - Marmes Pond,CENTRAL WASHINGTON -- TRI-CITIES,4.0,150.0,750.0,2.8,5,"A former archaeological site, Marmes Pond is now a destination for fishermen and hikers looking for a short exploration of the Channeled Scablands.","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Wildlife', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2783,Meta Lake,SOUTH CASCADES -- MOUNT ST. HELENS,0.6,0.0,3625.0,3.29,7,This very short and flat interpretive trail offers a wonderful way to take in the sights and sounds of a small lake still recovering from the 1980 eruption of Mount St. Helens.,"['Mountain views', 'Dogs not allowed', 'Good for kids', 'Lakes']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2784,Long Lake,SOUTH CASCADES -- WHITE PASS/COWLITZ RIVER VALLEY,3.8,500.0,4300.0,2.75,4,"Long Lake is a great option for those looking for a short hike to get back into the swing of things for the hiking season. It's relatively short and gains elevation steadily, so hikers can choose to make it an easy hike or bring a heavier pack for a bit more of a workout.","['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Established campsites', 'Old growth', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2785,Mallardy Ridge Snowshoe,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,10.0,1900.0,3200.0,3.33,3,"On a clear day, some of the area’s most notable peaks are visible from the crest of Mallardy Ridge, reached by snowshoeing along an easy-to-follow route.","['Mountain views', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2786,Loowit Falls,SOUTH CASCADES -- MOUNT ST. HELENS,9.2,1200.0,4575.0,4.86,7,Hike to a glacier-fed waterfall pouring out of the heart of a volcano. It doesn’t get much more dramatic than that.,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs not allowed', 'Waterfalls']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2787,Lost Creek Ridge,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,28.0,5000.0,5700.0,4.57,7,A rugged trail that offers stunning views and access to several beautiful backcountry lakes.,"['Wildflowers/Meadows', 'Mountain views', 'Lakes', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2788,Maintenance Shed Road,SOUTH CASCADES -- WHITE PASS/COWLITZ RIVER VALLEY,7.0,400.0,4700.0,2.33,3,"Here is an easy snowshoe on a wide U.S. Forest Service road with spectacular views of Chimney Rock, Coyote Ridge and, at the end, Mount Rainier.","['Mountain views', 'Dogs allowed on leash', 'Summits', 'Good for kids', 'Ridges/passes']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2789,Manastash Ridge,CENTRAL WASHINGTON -- YAKIMA,33.4,4600.0,6245.0,3.71,14,"Traverse Manastash Ridge over rugged eastern slope terrain between Quartz Mountain and Blowout Mountain. The distance covered is nearly 17 miles, so be prepared to spend a full day hiking one segment or stay overnight to complete the journey, which has ample trail to delight mountain vista aficionados, larch lovers, berry munchers, flower photographers, and campers alike.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2790,Loowit Trail,SOUTH CASCADES -- MOUNT ST. HELENS,32.0,6000.0,4800.0,4.13,24,Ready for a stunning long hike through the otherwordly landscape of Mount St. Helens? The Loowit Trail reveals the volcano and the blast zone in all its raw glory.,"['Wildflowers/Meadows', 'Ridges/passes', 'Established campsites', 'Mountain views', 'Dogs not allowed', 'Waterfalls', 'Rivers']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2791,Lakeview Ranch,CENTRAL WASHINGTON -- POTHOLES REGION,5.3,450.0,1780.0,3.75,4,"Lakeview Ranch is a wild and expansive former ranch set among the Channeled Scablands of Eastern Washington. Now a part of the Bureau of Land Management, the recreation area offers a network of old farm roads that are perfect for exploring seasonal lakes, sagebrush flats, and coulees between basalt cliffs and mesas.","['Dogs allowed on leash', 'Wildlife', 'Lakes']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2792,Lava Butte,SOUTH CASCADES -- DARK DIVIDE,3.0,1100.0,2400.0,3.17,6,"Follow this steep, to-the-point trail over a river to the top of an old cinder cone volcano.","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Established campsites', 'Fall foliage', 'Rivers']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2793,Lava Canyon,SOUTH CASCADES -- MOUNT ST. HELENS,5.0,1600.0,2800.0,3.84,19,"This trail begins with an amazing, ADA accessible, interpretive trail before proceeding down a steep rugged canyon to a one-of-a-kind swinging bridge.","['Dogs not allowed', 'Rivers', 'Good for kids', 'Waterfalls']",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2794,Lakes Trail,SOUTH CASCADES -- MOUNT ST. HELENS,9.0,200.0,2700.0,3.42,12,"The Lakes Trail offers a nice day hike along a volcano-created lake, or a gateway into the Mount Margaret Backcountry.","['Mountain views', 'Wildlife', 'Lakes', 'Dogs allowed on leash']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2795,Lenore Lake Caves,CENTRAL WASHINGTON -- GRAND COULEE,1.5,200.0,1300.0,3.57,7,"Explore ancient caves and view a wide array of wildlife, all near a large lake in Washington's Coulee Country.","['Wildflowers/Meadows', 'Wildlife']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2796,Lake Wapiki,SOUTH CASCADES -- MOUNT ADAMS AREA,7.0,1600.0,5250.0,3.8,5,"Just a half mile off the Lemei Lake Trail is a gorgeous blue lake nestled in an old volcanic crater. Surrounded by trees, this is a sheltered refuge perfect for an overnight in Indian Heaven.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2797,Lime Kiln Trail,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,7.0,625.0,750.0,3.6,81,"Here's an unusual hike through a very mossy forest and along a narrow river canyon, past sites that were important in local history. A railroad once ran along the canyon, passing through small communities. Logging was done in the area, and lime once was produced from limestone here, in a kiln that still stands. The railroad and communities are gone now, and much has disappeared over the past eighty years. But a few artifacts still remain and can be seen near the trail.","['Old growth', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2798,Lake 22 - Winter,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,5.0,1200.0,2440.0,3.5,10,"A great day hike in summer, the route to Lake 22 can be avalanche prone in winter. It's best to wait until the snow is melted on this popular Mountain Loop Highway trail.","['Mountain views', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2799,Layser Cave,SOUTH CASCADES -- WHITE PASS/COWLITZ RIVER VALLEY,0.25,100.0,2400.0,2.89,9,The short Layser Cave interpretive trail is a quick detour off the main route south of Randle that transports visitors into the Gifford Pinchot National Forest. The trail takes just a half-hour to hike and provides a nice immersion into the human history of the area.,"['Mountain views', 'Old growth', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,Lemei Lake,SOUTH CASCADES -- MOUNT ADAMS AREA,5.0,500.0,5100.0,2.8,5,Tucked in the heart of the Indian Heaven Wilderness. The short and sweet Lemei Lake trail takes you through open meadow to a calm lake ringed with lush evergreens and grasses.,"['Wildflowers/Meadows', 'Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2801,Klickitat Trail,SOUTH CASCADES -- WHITE PASS/COWLITZ RIVER VALLEY,38.2,1000.0,5500.0,4.6,5,"A former Native American route into the high country of the South Cascades, the Klickitat Trail traverses a ridgetop between Kilborn Creek to Elk Peak. Views of Mount Adams and the south Cascades are breathtaking on clear days. From the ridgeline, hikers can spot Castle Butte, Jackpot Lake, St. Michaels Lake, and St. John Lake.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Fall foliage', 'Ridges/passes']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2802,Lake Kelcema Snowshoe,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,10.0,1600.0,3182.0,3.6,5,"For a more strenuous snowshoe, head out to Deer Creek and the Lake Kelcema trail. From the parking area, the route proceeds up Deer Creek Road (Road 4052). Watch out for tubers and sledders on the lower portion.","['Mountain views', 'Wildlife', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2803,Kelcema Lake,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,1.2,29.0,3040.0,4.11,9,This short hike to a lake in the Boulder River Wilderness is a great trail for families.,"['Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2804,Windy Trail,SOUTH CASCADES -- MOUNT ST. HELENS,2.0,200.0,4300.0,3.5,2,"A short trail accessible from the Windy Ridge area of Mount St. Helens National Volcanic Monument, the Windy Trail makes it possible for hikers to loop up a variety of trails in the blast zone.","['Wildflowers/Meadows', 'Mountain views', 'Dogs not allowed']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2805,Adams Creek Meadows,SOUTH CASCADES -- MOUNT ADAMS AREA,8.0,2300.0,6840.0,3.89,9,"Although it can get crowded on the weekends, there is plenty of room for seclusion on either a day hike or an overnight stay. Some of the best views and meadows within the Mt. Adams Wilderness.","['Wildflowers/Meadows', 'Mountain views', 'Rivers', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2806,Lily Lake,SOUTH CASCADES -- WHITE PASS/COWLITZ RIVER VALLEY,2.8,150.0,3660.0,2.22,9,"A peaceful wetland lake resting just inside the boundary for Goat Rocks Wilderness, Lily Lake is a gentle stroll, perfect for a day out with the family to experience flora and fauna near White Pass and Mount Rainier. However, the forest road to reach the trailhead is not as gentle, and higher clearance vehicles are advised.","['Wildflowers/Meadows', 'Old growth', 'Good for kids', 'Wildlife', 'Lakes']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2807,Badger Mountain - Sagebrush Trail,CENTRAL WASHINGTON -- TRI-CITIES,1.8,500.0,1200.0,,0,"The Sagebrush Trail was built in the spring of 2010 by the Friends of Badger Mountain with help from WTA. While most of the gravel trail is wide and smooth, there are a few dips and holes to look out for. The Sagebrush Trail starts in the City of Richland’s Trailhead Park. It then passes through some private land and Richland Utilities land and ends in the Badger Mountain Centennial Preserve.","['Wildflowers/Meadows', 'Wildlife', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2808,Badger Mountain Flats,CENTRAL WASHINGTON,0.6,30.0,240.0,,0,"This short trail in the City of Richland’s Trailhead Park was built in sections by Boy Scouts for their Eagle Scout Projects and then graveled by the Tri-Cities Rotary Clubs. The Badger Flats Trail heads west through open sagebrush and grasses, then loops back along the face of Badger Mountain. To make a complete loop, take the Canyon Trail back to the parking lot.","['Mountain views', 'Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2809,Badger Mountain - Skyline Trail,CENTRAL WASHINGTON -- TRI-CITIES,5.8,1100.0,1500.0,,0,"The Skyline Trail roughly follows the ridgeline up to the summit of Badger Mountain, then back down to meet the Sagebrush Trail and the Langdon Trail at the Triple Junction. The graved path is 3.5 feet wide and popular with hikers, runners, mountain bikers and equestrians. The trail has mostly sagebrush at both ends with native dryland grasses in the middle. Balsamroot and purple sagebrush can be found blossoming in the spring.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2810,Nannie Peak Loop,SOUTH CASCADES,14.1,1800.0,5800.0,4.0,2,"Head to the site of a former fire lookout for expansive sunset views, then wait for darkness to enjoy a star-spangled night sky before heading back to camp.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Old growth', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2811,Fort Simcoe Historical State Park,CENTRAL WASHINGTON -- YAKIMA,1.6,,,,0,Fort Simcoe Historical State Park consists of 196 acres in the Yakima Indian Reservation. The Park is closed in the winter from October 31 through March 31.,"['Wildflowers/Meadows', 'Wildlife', 'Good for kids']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2812,Blue Lake,SOUTH CASCADES -- DARK DIVIDE,5.2,900.0,5200.0,3.0,1,"This short, hiker-only trail in the Dark Divide connects hikers to an arresting, appropriately named blue lake jumping with fish. If you can get past its quiet shores, it's a short jaunt to connect with the Craggy Peak trail and miles of ridgeline hiking that the Dark Divide Roadless Area affords.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Lakes', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2813,Sacajawea Historical State Park,CENTRAL WASHINGTON -- TRI-CITIES,2.4,,,,0,"Nestled on the eastern edge of the Tri-Cities, just east of Pasco, is a lovely little state park and accompanying interpretive center dedicated to Sacagawea, the Shoshone woman who was crucial to the success of the Corps of Discovery as they made their way to the Northwest Coast.","['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2814,Blue Horse Trail,SOUTH CASCADES -- MOUNT ST. HELENS,10.4,1250.0,4000.0,2.5,6,"Hike a trail on the southwest flanks of Mount St. Helens. While mudflows and flooding rendered the land close to St. Helens difficult to negotiate even for two-legged hikers, the Blue Horse trail has been cultivated enough that the way is passable and pleasant for both horses and hikers.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Dogs not allowed', 'Lakes']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2815,Ten Day,SOUTH CASCADES,2.4,1800.0,5700.0,,0,"This little-used trail gets hikers to Cirque Lake in the Goat Rocks Wilderness. Paralleling Tenday Creek, it's a low-key riverside walk to a lovely little lake.","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2816,Goat Creek,SOUTH CASCADES -- MOUNT ST. HELENS,11.0,400.0,2400.0,4.33,9,"Hike along a lush green valley wall above Goat Creek in the Mount St. Helens National Volcanic Monument. Because this part of the monument is so infrequently visited, it's possible you won't see another soul on the trail, meaning you'll get to have the incredible Cathedral Falls all to yourself.","['Old growth', 'Rivers', 'Good for kids', 'Dogs allowed on leash', 'Waterfalls']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2817,Image Lake via Miners Ridge,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,31.8,4400.0,6000.0,4.25,8,"Hike along a Wild and Scenic river, up a rugged ridge, and to a mirror-like iconic lake in Glacier Peak wilderness. This is a long hike, best done as a backpack, but it's absolutely worth the days you invest to explore here.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Old growth', 'Lakes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2818,Upper Suiattle River,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,32.0,2320.0,4000.0,,0,"This is a remote and rugged trail that has not been maintained for decades. From the Upper Suiattle River Trail, this route fords the Suiattle River to eventually arrive at Buck Creek Pass.","['Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2819,McClellan Meadows,SOUTH CASCADES -- MOUNT ADAMS AREA,6.0,500.0,,,0,"This gentle, short hike offers spring flowers and a nice forest ramble, following most of George McClellan's railroad survey of 1852.","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2820,Heart Lake via Lily Basin Trail,SOUTH CASCADES,13.0,1900.0,6148.0,2.5,6,"The Lily Basin trail climbs gently through corridors of huckleberry, mountain azalea and patches of bear grass to sweet little Heart Lake.","['Mountain views', 'Dogs allowed on leash', 'Lakes', 'Waterfalls']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2821,McClellan Meadows to Indian Racetrack Snowshoe,SOUTH CASCADES -- MOUNT ADAMS AREA,15.0,1250.0,4350.0,4.25,4,"If you only have a single day and really want to push yourself, then check out this winter route to Indian Racetrack, in the Indian Heaven Wilderness.","['Ridges/passes', 'Wildlife', 'Summits', 'Lakes', 'Rivers', 'Mountain views', 'Established campsites', 'Old growth']",0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2822,Palouse to Cascades Trail - Army East,CENTRAL WASHINGTON -- YAKIMA,8.0,500.0,1500.0,2.8,5,This is an 8-mile section of the longer Palouse to Cascades trail.,['Wildflowers/Meadows'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2823,Palouse to Cascades Trail - Ellensburg Trailhead,CENTRAL WASHINGTON -- YAKIMA,,,,2.0,3,"Formerly known as the John Wayne Trail, this is a rail trail whose route crosses Washington, offering a nice short walk from a myriad of trailheads, or a fun, multi-day bikepacking adventure.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2824,Beaver Peak,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,2.6,1700.0,5113.0,,0,Beaver Peak is the unofficial name for the easy-to-reach peak located three miles north of Silverton.,"['Wildflowers/Meadows', 'Mountain views', 'Summits']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,William O. Douglas Wilderness,CENTRAL WASHINGTON -- YAKIMA,52.0,3600.0,,,0,"This heritage trail provides muscle-powered users (read: hikers) the opportunity to experience many of the natural, historic and cultural sites that William O. Douglas hiked and wrote about in his book Of Men and Mountains.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2826,Box Spring Canyon,CENTRAL WASHINGTON -- YAKIMA,9.5,900.0,2300.0,4.0,1,"This is part of the William O. Douglas Trail, which runs from Davis High School in Yakima to Mt. Rainier. This trail is still being established.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2827,Swofford Pond,SOUTH CASCADES -- WHITE PASS/COWLITZ RIVER VALLEY,3.8,140.0,922.0,,0,"The South Swofford Pond Trail is a joint venture by Washington Department of Fish and Wildlife and the Cowlitz River Project of Tacoma Power and runs almost two miles around the south side of Swofford Pond to its southwest corner. It is an easy graded, mostly wooded trail that offers plenty of opportunities to view wildlife, marvel at old-growth cedars and enjoy glimpses of the surrounding Swofford Valley.","['Wildflowers/Meadows', 'Wildlife', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2828,Baldy Mountain,CENTRAL WASHINGTON -- YAKIMA,5.0,1972.0,3212.0,4.25,8,This hike in the Yakima River Canyon is an excellent conditioning hike for anyone looking to train in the winter months.,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2829,Buck Creek-Morrison Creek-Wicky Creek Loop,SOUTH CASCADES -- MOUNT ADAMS AREA,8.0,4100.0,1800.0,2.0,1,"Get a taste for the south slopes of Mount Adams area when the snow is still in the high country on this eight mile loop combining the Buck Creek Trail, Morrison Creek Trail, and Wicky Creek Trail.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2830,Langille Ridge Trail,SOUTH CASCADES -- DARK DIVIDE,,,,2.5,2,One of several rugged trails in the Dark Divide,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2831,Mountain Climbers Trail,SOUTH CASCADES -- MOUNT ADAMS AREA,6.8,2600.0,8300.0,5.0,1,"Hike through beautiful woods, subalpine meadows and glacial moraines to the Hellroaring Viewpoint. The trail then becomes poorly defined up to Sunrise Camp.","['Ridges/passes', 'Wildlife', 'Summits', 'Lakes', 'Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Waterfalls', 'Fall foliage']",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
